,PtxID,trial,group,Phase,MeanAbsErr
153,Di839285889sX391,26,Reward,Adaptation,24.41247956
154,Di839285889sX391,27,Reward,Adaptation,18.22412376
155,Di839285889sX391,28,Reward,Adaptation,21.12733812
156,Di839285889sX391,29,Reward,Adaptation,21.14537348
157,Di839285889sX391,30,Reward,Adaptation,28.53655249
158,Di839285889sX391,31,Reward,Adaptation,27.20415138
159,Di839285889sX391,32,Reward,Adaptation,16.80474475
160,Di839285889sX391,33,Reward,Adaptation,15.72501436
161,Di839285889sX391,34,Reward,Adaptation,22.52545856
162,Di839285889sX391,35,Reward,Adaptation,18.97981015
163,Di839285889sX391,36,Reward,Adaptation,22.68739735
164,Di839285889sX391,37,Reward,Adaptation,24.49445635
165,Di839285889sX391,38,Reward,Adaptation,23.23577017
166,Di839285889sX391,39,Reward,Adaptation,28.33358674
167,Di839285889sX391,40,Reward,Adaptation,17.48421965
168,Di839285889sX391,41,Reward,Washout,19.5166479
169,Di839285889sX391,42,Reward,Washout,37.89671381
170,Di839285889sX391,43,Reward,Washout,18.54491602
171,Di839285889sX391,44,Reward,Washout,17.14098455
172,Di839285889sX391,45,Reward,Washout,15.09029613
173,Di839285889sX391,46,Reward,Washout,12.52606077
174,Di839285889sX391,47,Reward,Washout,13.7646453
175,Di839285889sX391,48,Reward,Washout,16.88405856
176,Di839285889sX391,49,Reward,Washout,20.37790276
177,Di839285889sX391,50,Reward,Washout,17.2553558
178,Di839285889sX391,51,Reward,Washout,14.77007735
179,Di839285889sX391,52,Reward,Washout,15.10903425
180,FV138309651bm4,0,NoReward,Baseline,17.11578564
181,FV138309651bm4,1,NoReward,Baseline,14.51612482
182,FV138309651bm4,2,NoReward,Baseline,39.66507804
183,Hv578899179Yv8,0,NoReward,Baseline,26.19598344
184,Hv578899179Yv8,1,NoReward,Baseline,14.85836427
185,Hv578899179Yv8,2,NoReward,Baseline,15.6498029
186,Hv578899179Yv8,3,NoReward,Baseline,17.28056733
187,Hv578899179Yv8,4,NoReward,Baseline,15.54343554
188,Hv578899179Yv8,5,NoReward,Baseline,15.3008606
189,Hv578899179Yv8,6,NoReward,Baseline,14.59382854
190,Hv578899179Yv8,7,NoReward,Baseline,12.0068046
191,Hv578899179Yv8,8,NoReward,Baseline,14.92006803
192,Hv578899179Yv8,9,NoReward,Baseline,11.94321024
193,Hv578899179Yv8,10,NoReward,Baseline,12.76789735
194,Hv578899179Yv8,11,NoReward,Baseline,14.6078509
195,Hv578899179Yv8,12,NoReward,Baseline,24.02731791
196,Hv578899179Yv8,13,NoReward,Baseline,18.02448339
197,Hv578899179Yv8,14,NoReward,Baseline,16.5545962
198,Io68859918mV642,0,NoReward,Baseline,33.1345
199,Io68859918mV642,1,NoReward,Baseline,24.14658453
200,Io68859918mV642,2,NoReward,Baseline,17.30619328
201,Io68859918mV642,3,NoReward,Baseline,17.42705083
202,Io68859918mV642,4,NoReward,Baseline,30.81028846
203,Io68859918mV642,5,NoReward,Baseline,19.39636906
204,Io68859918mV642,6,NoReward,Baseline,27.79483958
205,Io68859918mV642,7,NoReward,Baseline,17.56141326
206,Io68859918mV642,8,NoReward,Baseline,12.8360746
207,Io68859918mV642,9,NoReward,Baseline,16.13870074
208,Io68859918mV642,10,NoReward,Baseline,20.53791602
209,Io68859918mV642,11,NoReward,Baseline,13.80561268
210,Io68859918mV642,12,NoReward,Baseline,41.79229051
211,Io68859918mV642,13,NoReward,Baseline,24.41338843
212,Io68859918mV642,14,NoReward,Baseline,30.78910276
213,Io68859918mV642,15,NoReward,Baseline,35.29961105
214,Io68859918mV642,16,NoReward,Baseline,41.63482915
215,Io68859918mV642,17,NoReward,Baseline,28.82017284
216,Io68859918mV642,18,NoReward,Baseline,26.12152542
217,Io68859918mV642,19,NoReward,Baseline,43.26009051
218,Io68859918mV642,20,NoReward,Adaptation,32.9304895
219,Io68859918mV642,21,NoReward,Adaptation,20.3047638
220,Io68859918mV642,22,NoReward,Adaptation,9.205026549
221,Io68859918mV642,23,NoReward,Adaptation,15.81996842
222,Io68859918mV642,25,NoReward,Adaptation,32.46062249
223,Io68859918mV642,26,NoReward,Adaptation,26.26511854
224,Io68859918mV642,27,NoReward,Adaptation,15.60360284
225,L,0,Reward,Baseline,17.20832561
226,L,1,Reward,Baseline,14.91734696
227,L,2,Reward,Baseline,14.23543867
228,L,3,Reward,Baseline,13.69127293
229,L,4,Reward,Baseline,16.83620994
230,L,5,Reward,Baseline,15.05122983
231,L,6,Reward,Baseline,12.2332884
232,L,7,Reward,Baseline,13.8491337
233,L,8,Reward,Baseline,15.39781869
234,L,9,Reward,Baseline,15.87370276
235,L,10,Reward,Baseline,18.61434365
236,L,11,Reward,Baseline,13.27120552
237,L,12,Reward,Baseline,28.36434254
238,L,13,Reward,Baseline,25.71238343
239,L,14,Reward,Baseline,22.42575166
240,L,15,Reward,Baseline,31.44883425
241,ML52766852sX612,0,NoReward,Baseline,23.04234399
242,ML52766852sX612,1,NoReward,Baseline,48.11697901
243,ML52766852sX612,2,NoReward,Baseline,32.66274614
244,ML52766852sX612,3,NoReward,Baseline,13.23761547
245,ML52766852sX612,4,NoReward,Baseline,16.05892707
246,ML52766852sX612,5,NoReward,Baseline,16.03677569
247,MY493867256yh257,0,NoReward,Baseline,17.84897461
248,MY493867256yh257,1,NoReward,Baseline,17.01293591
249,MY493867256yh257,2,NoReward,Baseline,18.47728177
250,MY493867256yh257,3,NoReward,Baseline,18.22061436
251,MY493867256yh257,4,NoReward,Baseline,25.32491492
252,MY493867256yh257,5,NoReward,Baseline,23.35492597
253,MY493867256yh257,6,NoReward,Baseline,14.63164751
254,MY493867256yh257,7,NoReward,Baseline,13.83564972
255,MY493867256yh257,8,NoReward,Baseline,18.18512265
256,MY493867256yh257,9,NoReward,Baseline,21.29281989
257,MY493867256yh257,10,NoReward,Baseline,19.87487514
258,MY493867256yh257,11,NoReward,Baseline,18.25116354
259,MY493867256yh257,12,NoReward,Baseline,31.63834768
260,MY493867256yh257,13,NoReward,Baseline,30.4581326
261,MY493867256yh257,14,NoReward,Baseline,28.28433039
262,MY493867256yh257,15,NoReward,Baseline,25.04510939
263,MY493867256yh257,16,NoReward,Baseline,24.17710718
264,MY493867256yh257,17,NoReward,Baseline,24.76896468
265,MY493867256yh257,18,NoReward,Baseline,21.24111713
266,MY493867256yh257,19,NoReward,Baseline,38.11304305
267,MY493867256yh257,20,NoReward,Adaptation,34.32703536
268,MY493867256yh257,21,NoReward,Adaptation,27.91371934
269,MY493867256yh257,22,NoReward,Adaptation,22.39935691
270,MY493867256yh257,23,NoReward,Adaptation,22.24447403
271,MY493867256yh257,24,NoReward,Adaptation,31.87439116
272,MY493867256yh257,25,NoReward,Adaptation,21.67298343
273,MY493867256yh257,26,NoReward,Adaptation,22.2776663
274,MY493867256yh257,27,NoReward,Adaptation,23.23020088
275,MY493867256yh257,28,NoReward,Adaptation,23.85791501
276,MY493867256yh257,29,NoReward,Adaptation,34.50320247
277,MY493867256yh257,30,NoReward,Adaptation,26.10006077
278,MY493867256yh257,31,NoReward,Adaptation,27.15133923
279,MY493867256yh257,32,NoReward,Adaptation,27.49627182
280,MY493867256yh257,33,NoReward,Adaptation,26.63542826
281,MY493867256yh257,34,NoReward,Adaptation,25.38692928
282,MY493867256yh257,35,NoReward,Adaptation,21.22599006
283,MY493867256yh257,36,NoReward,Adaptation,29.6305105
284,MY493867256yh257,37,NoReward,Adaptation,29.72691501
285,MY493867256yh257,38,NoReward,Adaptation,22.23744972
286,MY493867256yh257,39,NoReward,Adaptation,34.09978674
287,MY493867256yh257,40,NoReward,Adaptation,26.64953913
288,MY493867256yh257,41,NoReward,Washout,27.39469171
289,MY493867256yh257,42,NoReward,Washout,19.13682983
290,MY493867256yh257,43,NoReward,Washout,16.44116133
291,MY493867256yh257,44,NoReward,Washout,15.45372597
292,MY493867256yh257,45,NoReward,Washout,14.01270829
293,MY493867256yh257,46,NoReward,Washout,12.94721436
294,MY493867256yh257,47,NoReward,Washout,16.38157127
295,MY493867256yh257,48,NoReward,Washout,12.81207293
296,MY493867256yh257,49,NoReward,Washout,14.3533989
297,MY493867256yh257,50,NoReward,Washout,14.96060884
298,MY493867256yh257,51,NoReward,Washout,15.34881436
299,MY493867256yh257,52,NoReward,Washout,19.98374365
300,N,0,Reward,Baseline,14.03733591
301,N,1,Reward,Baseline,20.09945183
302,N,3,Reward,Baseline,43.56219742
303,N,4,Reward,Baseline,33.6429558
304,N,5,Reward,Baseline,60.05005967
305,N,6,Reward,Baseline,27.56582099
306,N,7,Reward,Baseline,21.24536022
307,N,8,Reward,Baseline,30.59862099
308,N,9,Reward,Baseline,25.75977042
309,NN0891521Nv932,0,Reward,Baseline,32.48114238
310,NN0891521Nv932,1,Reward,Baseline,24.93953907
311,NN0891521Nv932,2,Reward,Baseline,17.97727994
312,NN0891521Nv932,3,Reward,Baseline,29.72623108
313,NN0891521Nv932,4,Reward,Baseline,39.21075593
314,NN0891521Nv932,5,Reward,Baseline,32.74635221
315,NN0891521Nv932,6,Reward,Baseline,33.76915242
316,NRNFMMM589968,0,NoReward,Baseline,22.0932649
317,NRNFMMM589968,1,NoReward,Baseline,20.04765888
318,NRNFMMM589968,2,NoReward,Baseline,19.62758548
319,NRNFMMM589968,3,NoReward,Baseline,12.1964313
320,NRNFMMM589968,4,NoReward,Baseline,16.45566436
321,NRNFMMM589968,5,NoReward,Baseline,10.39832723
322,NRNFMMM589968,6,NoReward,Baseline,15.63581655
323,NRNFMMM589968,7,NoReward,Baseline,14.76524793
324,NRNFMMM589968,9,NoReward,Baseline,21.1640872
325,PS940208551QF590,0,Reward,Baseline,19.45194812
326,PS940208551QF590,1,Reward,Baseline,13.81421405
327,PS940208551QF590,2,Reward,Baseline,10.93456796
328,PS940208551QF590,3,Reward,Baseline,10.66927556
329,PS940208551QF590,4,Reward,Baseline,12.8486722
330,PS940208551QF590,5,Reward,Baseline,11.48116426
331,PS940208551QF590,6,Reward,Baseline,12.55885231
332,PS940208551QF590,7,Reward,Baseline,11.09500773
333,PS940208551QF590,8,Reward,Baseline,11.17103978
334,PS940208551QF590,9,Reward,Baseline,11.98856384
335,PS940208551QF590,10,Reward,Baseline,14.06231444
336,PS940208551QF590,11,Reward,Baseline,16.75198115
