,PtxID,Group,Trial,Slope,Intercept,MeanSqErr,MeanAbsErr,Phase
111,Ai275415234NZ493,Reward,3,1.0121527307115743,-6.11518332567472,603.0004588908406,18.008717691342536,Baseline
112,Ai275415234NZ493,Reward,4,0.9249499926794902,2.5228264279598953,636.8482615191192,20.362858632676705,Baseline
113,Ai275415234NZ493,Reward,5,0.9764981389050595,-6.429901620692088,504.5322187449749,17.722443467336685,Baseline
114,Ai275415234NZ493,Reward,6,0.9110995228473718,-4.1374322945170805,660.6303830875635,18.30146573604061,Baseline
115,Ai275415234NZ493,Reward,7,0.9809806508573629,-5.762036581165001,416.5843343257143,15.414158857142857,Baseline
116,Ai275415234NZ493,Reward,8,0.9738956108508185,-5.402685448001728,476.55417324283934,18.202366127023662,Baseline
117,Ai275415234NZ493,Reward,9,1.0593899098777304,-7.254665941435153,538.1672388851613,17.86161806451613,Baseline
118,Ai275415234NZ493,Reward,10,0.9153826441513766,-3.88465105844276,504.4990361854461,16.85025117370892,Baseline
119,Ai275415234NZ493,Reward,11,0.908957304294504,-5.2166127631733135,479.5596756703431,17.49754289215686,Baseline
120,Ai275415234NZ493,Reward,12,0.7224230358538595,17.762085500306597,3402.2666235141846,41.330247044917265,Baseline
121,Ai275415234NZ493,Reward,13,0.6672264831144978,13.290313673189589,3675.5400879334816,46.550988913525494,Baseline
122,Ai275415234NZ493,Reward,14,0.8713149625126668,-10.16117577256295,2974.2325981659633,41.632244725738396,Baseline
123,Ai275415234NZ493,Reward,15,,,,,Baseline
124,Ai275415234NZ493,Reward,16,,,,,Baseline
125,Ai275415234NZ493,Reward,17,,,,,Baseline
126,Ai275415234NZ493,Reward,18,,,,,Baseline
127,Ai275415234NZ493,Reward,19,1.0625140221138472,20.577545206980144,1602.6694830158733,32.79714285714286,Baseline
128,Ai275415234NZ493,Reward,20,0.8897160941719278,7.443547035668446,2233.1643562909967,37.26846463022508,Baseline
129,Ai275415234NZ493,Reward,21,0.974848340136067,5.971708039039575,2045.11809015103,35.61888329519451,Adaptation
